Name,Module_Name,Manufacturer,Technology,Bifacial,STC_Wp,PTC_Wp,Area_m2,Efficiency,Length_m,Width_m,Num_Cells,I_sc,V_oc,I_mp,V_mp,T_NOCT_C,Temp_Coeff
Default,Default,Default,Mono-crystalline,0,353.8,420.2,2,0.2237,1.65,1.21,60,11.21,48.3,10.7,41.6,48,-0.004
,Applied Materials Full Size Single Junction Version 1.0,Applied Materials,Thin-Film,0,413.882,384.8,5.72,0.0724,2.6,2.2,216,2.9,194.2,2.59,159.8,44.8,-0.3
,T-Solar Global TS410,T-Solar Global,Thin-Film,0,414.22,381.1,5.71,0.0725,2.598,2.198,216,3.28,191,2.78,149,44.8,-0.3
,T-Solar Global TS390,T-Solar Global,Thin-Film,0,405.52,362.3,5.71,0.071,2.598,2.198,216,3.24,190,2.74,148,44.8,-0.3
,T-Solar Global TS370,T-Solar Global,Thin-Film,0,382.11,343.6,5.71,0.0669,2.598,2.198,216,3.24,185,2.71,141,44.8,-0.3
,REC Solar REC740AA Pro XL,REC Solar,Mono-crystalline,1,739.411,706.4,3.33,0.222,,,72,16.75,53.8,15.97,46.3,44.9,-0.247
,REC Solar REC730AA Pro XL,REC Solar,Mono-crystalline,1,731.077,696.6,3.33,0.2195,,,72,16.57,53.7,15.79,46.3,44.9,-0.247
,REC Solar REC720AA Pro XL,REC Solar,Mono-crystalline,1,720.72,686.9,3.33,0.2164,,,72,16.39,53.6,15.6,46.2,44.9,-0.247
,Venus Energy Limited VE-660-66IIMK,Venus Energy Limited,Mono-crystalline,0,659.526,619.5,3.12,0.2114,,,66,18.08,46,17.22,38.3,43.1,-0.359
,Venus Energy Limited VE-655-66IIMK,Venus Energy Limited,Mono-crystalline,0,655.512,614.7,3.12,0.2101,,,66,18.01,45.8,17.16,38.2,43.1,-0.359
,Venus Energy Limited VE-650-66IIMK,Venus Energy Limited,Mono-crystalline,0,649.42,609.9,3.12,0.2081,,,66,17.94,45.6,17.09,38,43.1,-0.359
,Venus Energy Limited VE-645-66IIMK,Venus Energy Limited,Mono-crystalline,0,645.437,605.1,3.12,0.2069,,,66,17.87,45.5,17.03,37.9,43.1,-0.359
,Venus Energy Limited VE-635-66IIMK,Venus Energy Limited,Mono-crystalline,0,635.064,595.5,3.12,0.2035,,,66,17.72,45.1,16.89,37.6,43.1,-0.359
,Venus Energy Limited VE-630-66IIMK,Venus Energy Limited,Mono-crystalline,0,630.75,590.7,3.12,0.2022,,,66,17.65,44.9,16.82,37.5,43.1,-0.359
,Venus Energy Limited VE-640-66IIMK,Venus Energy Limited,Mono-crystalline,0,629.213,600.3,3.12,0.2017,,,66,17.79,45.3,16.69,37.7,43.1,-0.359
,Venus Energy Limited VE-625-66IIMK,Venus Energy Limited,Mono-crystalline,0,624.775,585.9,3.12,0.2002,,,66,17.58,44.8,16.75,37.3,43.1,-0.359
,Venus Energy Limited VE-620-66IIMK,Venus Energy Limited,Mono-crystalline,0,620.496,581.1,3.12,0.1989,,,66,17.51,44.6,16.68,37.2,43.1,-0.359
,Venus Energy Limited VE-615-66IIMK,Venus Energy Limited,Mono-crystalline,0,614.57,576.3,3.12,0.197,,,66,17.44,44.4,16.61,37,43.1,-0.359
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-695,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,695.2,657.7,3.11,0.2235,,,66,18.17,48.2,17.38,40,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-695M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,695.2,657.7,3.11,0.2235,,,66,18.17,48.2,17.38,40,44.6,-0.296
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-695,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,694.908,656.1,3.11,0.2234,,,66,18.27,48,17.46,39.8,45,-0.303
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-690,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,690.78,651.2,3.11,0.2221,,,66,18.19,47.8,17.4,39.7,45,-0.303
,Mate Solar Co. Ltd. MS690M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,690.3,643.7,3.11,0.222,,,66,18.83,46.9,17.7,39,45.6,-0.351
,Sunpal Power Co. Ltd. SP690M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,690.3,643.8,3.11,0.222,,,66,18.83,46.9,17.7,39,45.6,-0.351
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-690,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,689.734,652.9,3.11,0.2218,,,66,18.09,48,17.33,39.8,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-690M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,689.734,652.9,3.11,0.2218,,,66,18.09,48,17.33,39.8,44.6,-0.296
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-685,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,686.016,648,3.11,0.2206,,,66,18.01,47.8,17.28,39.7,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-685M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,686.016,648,3.11,0.2206,,,66,18.01,47.8,17.28,39.7,44.6,-0.296
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-685,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,685.325,646.4,3.11,0.2204,,,66,18.11,47.6,17.35,39.5,45,-0.303
,Mate Solar Co. Ltd. MS685M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,685.208,638.9,3.11,0.2203,,,66,18.78,46.7,17.66,38.8,45.6,-0.351
,Sunpal Power Co. Ltd. SP685M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,685.208,639,3.11,0.2203,,,66,18.78,46.7,17.66,38.8,45.6,-0.351
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-680,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,680.19,643.2,3.11,0.2187,,,66,17.94,47.6,17.22,39.5,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-680M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,680.19,643.2,3.11,0.2187,,,66,17.94,47.6,17.22,39.5,44.6,-0.296
,Mate Solar Co. Ltd. MS680M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,680.132,634.1,3.11,0.2187,,,66,18.73,46.5,17.62,38.6,45.6,-0.351
,Sunpal Power Co. Ltd. SP680M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,680.132,634.2,3.11,0.2187,,,66,18.73,46.5,17.62,38.6,45.6,-0.351
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-680,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,679.89,641.6,3.11,0.2186,,,66,18.03,47.4,17.3,39.3,45,-0.303
,Tangshan Haitai New Energy Technology Co. Ltd. HTM675DMH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,675.693,630.1,3.11,0.2173,,,66,18.36,46,17.37,38.9,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM675MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,675.693,630.1,3.11,0.2173,,,66,18.36,46,17.37,38.9,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM675MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,675.693,630.5,3.11,0.2173,,,66,18.36,46,17.37,38.9,45.4,-0.345
,Mate Solar Co. Ltd. MS675M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,675.072,629.3,3.11,0.2171,,,66,18.68,46.3,17.58,38.4,45.6,-0.351
,Sunpal Power Co. Ltd. SP675M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,675.072,629.4,3.11,0.2171,,,66,18.68,46.3,17.58,38.4,45.6,-0.351
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-675,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,674.781,638.4,3.11,0.217,,,66,17.86,47.4,17.17,39.3,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-675M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,674.781,638.4,3.11,0.217,,,66,17.86,47.4,17.17,39.3,44.6,-0.296
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-675,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,674.084,636.7,3.11,0.2167,,,66,17.96,47.2,17.24,39.1,45,-0.303
,Tangshan Haitai New Energy Technology Co. Ltd. HTM670DMH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,670.671,625.3,3.11,0.2156,,,66,18.31,45.8,17.33,38.7,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM670MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,670.671,625.3,3.11,0.2156,,,66,18.31,45.8,17.33,38.7,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM670MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,670.671,625.7,3.11,0.2156,,,66,18.31,45.8,17.33,38.7,45.4,-0.345
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-670,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,670.41,631.9,3.11,0.2156,,,66,17.88,47,17.19,39,45,-0.303
,Mate Solar Co. Ltd. MS670M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,670.028,624.5,3.11,0.2154,,,66,18.63,46.1,17.54,38.2,45.6,-0.351
,Sunpal Power Co. Ltd. SP670M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,670.028,624.6,3.11,0.2154,,,66,18.63,46.1,17.54,38.2,45.6,-0.351
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-670,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,669.392,633.5,3.11,0.2152,,,66,17.78,47.2,17.12,39.1,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-670M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,669.392,633.5,3.11,0.2152,,,66,17.78,47.2,17.12,39.1,44.6,-0.296
,Tangshan Haitai New Energy Technology Co. Ltd. HTM665DMH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,665.665,620.5,3.11,0.214,,,66,18.25,45.6,17.29,38.5,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM665MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,665.665,620.5,3.11,0.214,,,66,18.25,45.6,17.29,38.5,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM665MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,665.665,620.9,3.11,0.214,,,66,18.25,45.6,17.29,38.5,45.4,-0.345
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-665,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,665.34,628.7,3.11,0.2139,,,66,17.7,47,17.06,39,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-665M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,665.34,628.7,3.11,0.2139,,,66,17.7,47,17.06,39,44.6,-0.296
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-665,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,665.032,627.1,3.11,0.2138,,,66,17.8,46.8,17.14,38.8,45,-0.303
,Mate Solar Co. Ltd. MS665M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,665,619.7,3.11,0.2138,,,66,18.58,45.9,17.5,38,45.6,-0.351
,Sunpal Power Co. Ltd. SP665M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,665,619.8,3.11,0.2138,,,66,18.58,45.9,17.5,38,45.6,-0.351
,Tangshan Haitai New Energy Technology Co. Ltd. HTM660DMH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,660.675,615.7,3.11,0.2124,,,66,18.19,45.4,17.25,38.3,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM660MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,660.675,615.7,3.11,0.2124,,,66,18.19,45.4,17.25,38.3,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM660MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,660.675,616.1,3.11,0.2124,,,66,18.19,45.4,17.25,38.3,45.4,-0.345
,Mate Solar Co. Ltd. MS660M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,660.366,614.9,3.11,0.2123,,,66,18.53,45.7,17.47,37.8,45.6,-0.351
,Sunpal Power Co. Ltd. SP660M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,660.366,615,3.11,0.2123,,,66,18.53,45.7,17.47,37.8,45.6,-0.351
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-660,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,659.988,623.9,3.11,0.2122,,,66,17.62,46.8,17.01,38.8,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-660M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,659.988,623.9,3.11,0.2122,,,66,17.62,46.8,17.01,38.8,44.6,-0.296
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-660,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,659.288,622.2,3.11,0.212,,,66,17.72,46.6,17.08,38.6,45,-0.303
,Tangshan Haitai New Energy Technology Co. Ltd. HTM655DMH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,655.701,610.9,3.11,0.2108,,,66,18.16,45.2,17.21,38.1,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM655MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,655.701,610.9,3.11,0.2108,,,66,18.16,45.2,17.21,38.1,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM655MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,655.701,611.3,3.11,0.2108,,,66,18.16,45.2,17.21,38.1,45.4,-0.345
,Chint New Energy Technology Co. Ltd. CHSM66N-HC-655,Chint New Energy Technology Co. Ltd.,Mono-crystalline,0,655.655,617.4,3.11,0.2108,,,66,17.64,46.4,17.03,38.5,45,-0.303
,Mate Solar Co. Ltd. MS655M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,655.368,610.1,3.11,0.2107,,,66,18.48,45.5,17.43,37.6,45.6,-0.351
,Sunpal Power Co. Ltd. SP655M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,655.368,610.2,3.11,0.2107,,,66,18.48,45.5,17.43,37.6,45.6,-0.351
,Chint New Energy Technology Co. Ltd. CHSM66N(DG)/F-BH-655,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,654.27,619,3.11,0.2104,,,66,17.54,46.6,16.95,38.6,44.6,-0.296
,SUNPLUS OPTIMUM LIMITED SR5-66NHBD-655M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,654.27,619,3.11,0.2104,,,66,17.54,46.6,16.95,38.6,44.6,-0.296
,Mate Solar Co. Ltd. MS650M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,650.386,605.3,3.11,0.2091,,,66,18.43,45.3,17.39,37.4,45.6,-0.351
,Sunpal Power Co. Ltd. SP650M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,650.386,605.4,3.11,0.2091,,,66,18.43,45.3,17.39,37.4,45.6,-0.351
,Tangshan Haitai New Energy Technology Co. Ltd. HTM650DMH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,650.364,606.1,3.11,0.2091,,,66,18.1,45,17.16,37.9,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM650MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,650.364,606.1,3.11,0.2091,,,66,18.1,45,17.16,37.9,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM650MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,650.364,606.5,3.11,0.2091,,,66,18.1,45,17.16,37.9,45.4,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM645DMH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,645.424,601.3,3.11,0.2075,,,66,18.04,44.8,17.12,37.7,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM645MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,645.424,601.3,3.11,0.2075,,,66,18.04,44.8,17.12,37.7,45.6,-0.345
,Tangshan Haitai New Energy Technology Co. Ltd. HTM645MH8-66(1500),Tangshan Haitai New Energy Technology Co. Ltd.,Mono-crystalline,0,645.424,601.8,3.11,0.2075,,,66,18.04,44.8,17.12,37.7,45.4,-0.345
,Mate Solar Co. Ltd. MS645M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,645.048,600.6,3.11,0.2074,,,66,18.38,45.1,17.34,37.2,45.6,-0.351
,Sunpal Power Co. Ltd. SP645M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,645.048,600.6,3.11,0.2074,,,66,18.38,45.1,17.34,37.2,45.6,-0.351
,Mate Solar Co. Ltd. MS640M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,640.1,595.8,3.11,0.2058,,,66,18.33,44.9,17.3,37,45.6,-0.351
,Sunpal Power Co. Ltd. SP640M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,640.1,595.8,3.11,0.2058,,,66,18.33,44.9,17.3,37,45.6,-0.351
,Mate Solar Co. Ltd. MS635M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,635.168,591,3.11,0.2042,,,66,18.28,44.7,17.26,36.8,45.6,-0.351
,Sunpal Power Co. Ltd. SP635M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,635.168,591.1,3.11,0.2042,,,66,18.28,44.7,17.26,36.8,45.6,-0.351
,Mate Solar Co. Ltd. MS630M-66H,Mate Solar Co. Ltd.,Mono-crystalline,0,630.252,586.2,3.11,0.2027,,,66,18.23,44.5,17.22,36.6,45.6,-0.351
,Sunpal Power Co. Ltd. SP630M-66H,Sunpal Power Co. Ltd.,Mono-crystalline,0,630.252,586.3,3.11,0.2027,,,66,18.23,44.5,17.22,36.6,45.6,-0.351
,Trina Solar TSM-670DEG21C.20,Trina Solar,Mono-crystalline,1,671.055,632.8,3.08,0.2179,,,66,18.55,46.3,17.43,38.5,44.6,-0.303
,Trina Solar TSM-670DE21,Trina Solar,Mono-crystalline,0,670.41,635.5,3.08,0.2177,,,44,18.62,46.1,17.55,38.2,43.3,-0.301
,Trina Solar TSM-665DEG21C.20,Trina Solar,Mono-crystalline,1,666.037,628,3.08,0.2162,,,66,18.5,46.1,17.39,38.3,44.6,-0.303
,Trina Solar TSM-665DE21,Trina Solar,Mono-crystalline,0,665.38,630.7,3.08,0.216,,,44,18.57,45.9,17.51,38,43.3,-0.301
,Trina Solar TSM-660DEG21C.20,Trina Solar,Mono-crystalline,1,661.035,623.1,3.08,0.2146,,,66,18.45,45.9,17.35,38.1,44.6,-0.303
,Trina Solar TSM-660DE21,Trina Solar,Mono-crystalline,0,660.366,625.8,3.08,0.2144,,,44,18.53,45.7,17.47,37.8,43.3,-0.301
,Trina Solar TSM-655DEG21C.20,Trina Solar,Mono-crystalline,1,656.049,618.3,3.08,0.213,,,66,18.4,45.7,17.31,37.9,44.6,-0.303
,Trina Solar TSM-655DE21,Trina Solar,Mono-crystalline,0,655.368,621,3.08,0.2128,,,44,18.48,45.5,17.43,37.6,43.3,-0.301
,Trina Solar TSM-650DEG21C.20,Trina Solar,Mono-crystalline,1,651.079,613.5,3.08,0.2114,,,66,18.35,45.5,17.27,37.7,44.6,-0.303
,Trina Solar TSM-650DE21,Trina Solar,Mono-crystalline,0,650.386,616.1,3.08,0.2112,,,44,18.44,45.3,17.39,37.4,43.3,-0.301
,Trina Solar TSM-645DEG21C.20,Trina Solar,Mono-crystalline,1,646.125,608.7,3.08,0.2098,,,66,18.31,45.3,17.23,37.5,44.6,-0.303
,Trina Solar TSM-645DE21,Trina Solar,Mono-crystalline,0,645.42,611.3,3.08,0.2096,,,44,18.39,45.1,17.35,37.2,43.3,-0.301
,CSI Solar Co. Ltd. CS7N-670MB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,670.284,624.4,3.07,0.2183,,,66,18.55,45.8,17.32,38.7,43.7,-0.39
,CSI Solar Co. Ltd. CS7N-665MB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,665.28,619.6,3.07,0.2167,,,66,18.51,45.6,17.28,38.5,43.7,-0.39
,CSI Solar Co. Ltd. CS7N-660MB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,660.292,614.8,3.07,0.2151,,,66,18.47,45.4,17.24,38.3,43.7,-0.39
,CSI Solar Co. Ltd. CS7N-655MB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,655.32,610,3.07,0.2135,,,66,18.43,45.2,17.2,38.1,43.7,-0.39
,CSI Solar Co. Ltd. CS7N-650MB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,650.364,605.2,3.07,0.2118,,,66,18.39,45,17.16,37.9,43.7,-0.39
,CSI Solar Co. Ltd. CS7N-645MB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,645.047,600.4,3.07,0.2101,,,66,18.35,44.8,17.11,37.7,43.7,-0.39
,CSI Solar Co. Ltd. CS7N-640MB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,640.125,595.7,3.07,0.2085,,,66,18.31,44.6,17.07,37.5,43.7,-0.39
,CSI Solar Co. Ltd. CS7N-635MB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,635.219,590.9,3.07,0.2069,,,66,18.27,44.4,17.03,37.3,43.7,-0.39
,CSI Solar Co. Ltd. CS7N-630MB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,630.329,586.1,3.07,0.2053,,,66,18.23,44.2,16.99,37.1,43.7,-0.39
,REC Solar REC680AA Pro L,REC Solar,Mono-crystalline,1,682.026,637.6,3.06,0.2229,,,66,16.76,49.3,16.01,42.6,45.6,-0.327
,REC Solar REC670AA Pro L,REC Solar,Mono-crystalline,1,671.075,628,3.06,0.2193,,,66,16.55,49.2,15.79,42.5,45.6,-0.327
,REC Solar REC660AA Pro L,REC Solar,Mono-crystalline,1,661.44,618.3,3.06,0.2162,,,66,16.35,49.2,15.6,42.4,45.6,-0.327
,REC Solar REC650AA Pro L,REC Solar,Mono-crystalline,1,649.88,608.7,3.06,0.2124,,,66,16.14,49.1,15.4,42.2,45.6,-0.327
,CSI Solar Co. Ltd. CS7N-710TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,710.636,673.7,3.03,0.2345,,,66,18.59,48.3,17.59,40.4,44.8,-0.286
,CSI Solar Co. Ltd. CS7N-705TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,705.51,668.8,3.03,0.2328,,,66,18.54,48.1,17.55,40.2,44.8,-0.286
,CSI Solar Co. Ltd. CS7N-700TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,700.4,663.9,3.03,0.2312,,,66,18.49,47.9,17.51,40,44.8,-0.286
,CSI Solar Co. Ltd. CS7N-695TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,695.306,659.1,3.03,0.2295,,,66,18.44,47.7,17.47,39.8,44.8,-0.286
,CSI Solar Co. Ltd. CS7N-690TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,690.228,654.2,3.03,0.2278,,,66,18.39,47.5,17.43,39.6,44.8,-0.286
,CSI Solar Co. Ltd. CS7N-685TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,685.166,649.4,3.03,0.2261,,,66,18.34,47.3,17.39,39.4,44.8,-0.286
,CSI Solar Co. Ltd. CS7N-680TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,680.12,644.5,3.03,0.2245,,,66,18.29,47.1,17.35,39.2,44.8,-0.286
,Chint New Energy Technology Co. Ltd. CHSM66M(DG)/F-BH-675,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,675.702,627.2,3.03,0.223,,,66,18.57,46.5,17.46,38.7,44.8,-0.386
,SUNPLUS OPTIMUM LIMITED SR5-66HBD-675M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,675.702,627.2,3.03,0.223,,,66,18.57,46.5,17.46,38.7,44.8,-0.386
,Topsun Co. Ltd. TOP CLASS 675CH12,Topsun Co. Ltd.,Mono-crystalline,1,675.702,627.2,3.03,0.223,,,66,18.57,46.5,17.46,38.7,44.8,-0.386
,CSI Solar Co. Ltd. CS7N-675TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,675.09,639.7,3.03,0.2228,,,66,18.24,46.9,17.31,39,44.8,-0.286
,Chint New Energy Technology Co. Ltd. CHSM66M(DG)/F-BH-670,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,670.67,622.5,3.03,0.2213,,,66,18.52,46.3,17.42,38.5,44.8,-0.386
,SUNPLUS OPTIMUM LIMITED SR5-66HBD-670M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,670.67,622.5,3.03,0.2213,,,66,18.52,46.3,17.42,38.5,44.8,-0.386
,Topsun Co. Ltd. TOP CLASS 670CH12,Topsun Co. Ltd.,Mono-crystalline,1,670.67,622.5,3.03,0.2213,,,66,18.52,46.3,17.42,38.5,44.8,-0.386
,CSI Solar Co. Ltd. CS7N-670TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,670.076,634.8,3.03,0.2211,,,66,18.19,46.7,17.27,38.8,44.8,-0.286
,Chint New Energy Technology Co. Ltd. CHSM66M(DG)/F-BH-665,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,665.654,617.7,3.03,0.2197,,,66,18.47,46.1,17.38,38.3,44.8,-0.386
,SUNPLUS OPTIMUM LIMITED SR5-66HBD-665M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,665.654,617.7,3.03,0.2197,,,66,18.47,46.1,17.38,38.3,44.8,-0.386
,Topsun Co. Ltd. TOP CLASS 665CH12,Topsun Co. Ltd.,Mono-crystalline,1,665.654,617.7,3.03,0.2197,,,66,18.47,46.1,17.38,38.3,44.8,-0.386
,CSI Solar Co. Ltd. CS7N-665TB-AG,CSI Solar Co. Ltd.,Mono-crystalline,1,665.078,630,3.03,0.2195,,,66,18.14,46.5,17.23,38.6,44.8,-0.286
,Chint New Energy Technology Co. Ltd. CHSM66M(DG)/F-BH-660,Chint New Energy Technology Co. Ltd.,Mono-crystalline,1,660.654,612.9,3.03,0.218,,,66,18.42,45.9,17.34,38.1,44.8,-0.386
,SUNPLUS OPTIMUM LIMITED SR5-66HBD-660M,SUNPLUS OPTIMUM LIMITED,Mono-crystalline,1,660.654,612.9,3.03,0.218,,,66,18.42,45.9,17.34,38.1,44.8,-0.386
,Topsun Co. Ltd. TOP CLASS 660CH12,Topsun Co. Ltd.,Mono-crystalline,1,660.654,612.9,3.03,0.218,,,66,18.42,45.9,17.34,38.1,44.8,-0.386
